scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
1,Cristiano Ronaldo,Portugal,121,21,0,2004-06-12,2025-10-14,1. Cristiano Ronaldo
2,Harry Kane,England,69,22,0,2015-03-27,2025-11-16,2. Harry Kane
3,Robert Lewandowski,Poland,69,14,0,2008-09-10,2026-03-26,3. Robert Lewandowski
4,Romelu Lukaku,Belgium,64,7,0,2013-10-11,2025-06-09,4. Romelu Lukaku
5,Lionel Messi,Argentina,63,14,0,2006-06-16,2025-09-04,5. Lionel Messi
6,Edin Džeko,Bosnia and Herzegovina,58,2,0,2007-06-02,2026-03-26,6. Edin Džeko
7,Aleksandar Mitrović,Serbia,52,4,0,2013-09-06,2025-10-14,7. Aleksandar Mitrović
8,Ali Daei,Iran,49,8,0,1993-06-25,2005-08-17,8. Ali Daei
9,Miroslav Klose,Germany,48,0,0,2001-03-24,2014-07-08,9. Miroslav Klose
10,Luis Suárez,Uruguay,47,9,0,2007-10-13,2024-07-13,10. Luis Suárez
11,Carlos Ruiz,Guatemala,47,4,0,2000-06-18,2016-09-06,11. Carlos Ruiz
12,Erling Haaland,Norway,46,5,0,2020-09-04,2025-11-16,12. Erling Haaland
13,Kylian Mbappé,France,45,10,0,2017-08-31,2025-11-13,13. Kylian Mbappé
14,Memphis Depay,Netherlands,44,11,0,2014-06-18,2025-11-14,14. Memphis Depay
15,Robbie Keane,Republic of Ireland,44,10,0,1998-10-14,2015-09-04,15. Robbie Keane
16,Zlatan Ibrahimović,Sweden,44,5,0,2001-10-07,2015-11-17,16. Zlatan Ibrahimović
17,Clint Dempsey,United States,41,4,0,2005-07-07,2017-07-22,17. Clint Dempsey
18,David Villa,Spain,41,4,0,2005-11-16,2014-06-23,18. David Villa
19,Samuel Eto'o,Cameroon,40,7,0,2000-01-28,2013-03-23,19. Samuel Eto'o
20,Andriy Shevchenko,Ukraine,40,5,0,1997-04-02,2012-06-11,20. Andriy Shevchenko
21,Ronaldo,Brazil,39,5,0,1997-06-13,2006-06-27,21. Ronaldo
22,Gerd Müller,Germany,39,3,0,1967-04-08,1974-07-07,22. Gerd Müller
23,Hakan Şükür,Turkey,39,2,0,1992-10-28,2007-06-02,23. Hakan Şükür
24,Landon Donovan,United States,38,10,0,2002-01-19,2013-09-10,24. Landon Donovan
25,Marko Arnautović,Austria,38,8,0,2010-10-08,2025-11-15,25. Marko Arnautović
26,Gabriel Batistuta,Argentina,37,7,0,1991-07-08,2002-06-02,26. Gabriel Batistuta
27,Wayne Rooney,England,37,6,0,2003-09-06,2016-06-27,27. Wayne Rooney
28,Jared Borgetti,Mexico,37,1,0,2000-10-08,2008-06-21,28. Jared Borgetti
29,Sardar Azmoun,Iran,37,0,0,2015-01-15,2025-03-20,29. Sardar Azmoun
30,Paulo Wanchope,Costa Rica,37,0,0,1996-12-01,2006-06-09,30. Paulo Wanchope
31,Jon Dahl Tomasson,Denmark,36,5,0,1999-06-09,2010-06-24,31. Jon Dahl Tomasson
32,Tim Cahill,Australia,36,0,0,2004-05-31,2017-10-10,32. Tim Cahill
33,Son Heung-min,South Korea,35,7,0,2011-01-18,2024-11-19,33. Son Heung-min
34,Ali Mabkhout,United Arab Emirates,35,7,0,2015-01-11,2023-11-21,34. Ali Mabkhout
35,Gareth Bale,Wales,35,7,0,2006-10-07,2022-11-21,35. Gareth Bale
36,Robin van Persie,Netherlands,35,4,0,2005-06-08,2015-10-13,36. Robin van Persie
37,Thomas Müller,Germany,35,2,0,2010-06-13,2022-06-14,37. Thomas Müller
38,Cuauhtémoc Blanco,Mexico,34,11,0,1996-01-19,2010-06-17,38. Cuauhtémoc Blanco
39,Carlos Pavón,Honduras,34,5,0,1996-09-21,2009-10-14,39. Carlos Pavón
40,Almoez Ali,Qatar,34,4,0,2019-01-09,2024-11-14,40. Almoez Ali
41,Thierry Henry,France,34,2,0,1998-06-12,2009-10-14,41. Thierry Henry
42,Neymar,Brazil,33,8,0,2011-07-13,2023-09-08,42. Neymar
43,Mohamed Salah,Egypt,33,7,0,2012-06-10,2026-01-10,43. Mohamed Salah
44,Mehdi Taremi,Iran,33,4,0,2015-09-03,2025-06-10,44. Mehdi Taremi
45,Romário,Brazil,33,4,0,1987-06-28,2001-04-25,45. Romário
46,Jan Koller,Czech Republic,33,2,0,1999-06-05,2008-06-15,46. Jan Koller
47,Karl-Heinz Rummenigge,Germany,32,3,0,1978-06-06,1986-06-29,47. Karl-Heinz Rummenigge
48,Karim Bagheri,Iran,32,1,0,1996-12-11,2008-11-19,48. Karim Bagheri
49,Raúl,Spain,32,0,0,1996-12-14,2006-06-19,49. Raúl
50,Didier Drogba,Ivory Coast,31,6,0,2004-06-06,2013-10-12,50. Didier Drogba
51,Davor Šuker,Croatia,31,6,0,1994-09-04,2001-06-02,51. Davor Šuker
52,Teemu Pukki,Finland,31,5,0,2013-03-22,2024-03-21,52. Teemu Pukki
53,Eran Zahavi,Israel,31,2,0,2013-09-10,2024-03-21,53. Eran Zahavi
54,Kevin De Bruyne,Belgium,30,4,0,2012-10-12,2025-10-13,54. Kevin De Bruyne
55,Edinson Cavani,Uruguay,30,3,0,2010-07-10,2022-02-01,55. Edinson Cavani
56,Chris Wood,New Zealand,30,2,0,2012-06-04,2025-03-21,56. Chris Wood
57,Jürgen Klinsmann,Germany,30,2,0,1988-06-14,1998-06-29,57. Jürgen Klinsmann
58,Ivan Perišić,Croatia,30,1,0,2012-09-11,2025-11-17,58. Ivan Perišić
59,Álvaro Morata,Spain,30,1,0,2015-03-27,2024-10-15,59. Álvaro Morata
60,Kazuyoshi Miura,Japan,30,1,0,1992-11-03,1997-09-07,60. Kazuyoshi Miura
61,Alexis Sánchez,Chile,30,0,0,2009-03-29,2022-02-01,61. Alexis Sánchez
62,Christian Eriksen,Denmark,29,10,0,2011-06-04,2025-03-23,62. Christian Eriksen
63,Antoine Griezmann,France,29,7,0,2016-06-15,2023-03-24,63. Antoine Griezmann
64,Toni Polster,Austria,29,5,0,1982-11-17,1998-06-11,64. Toni Polster
65,Ruud van Nistelrooy,Netherlands,29,1,0,2001-04-25,2011-03-29,65. Ruud van Nistelrooy
66,Eduardo Vargas,Chile,29,0,0,2011-10-11,2024-11-19,66. Eduardo Vargas
67,Lukas Podolski,Germany,29,0,0,2005-06-15,2012-06-17,67. Lukas Podolski
68,Hristo Stoichkov,Bulgaria,28,13,0,1989-10-11,1999-03-31,68. Hristo Stoichkov
69,Olivier Giroud,France,28,3,0,2012-10-16,2023-11-18,69. Olivier Giroud
70,Andriy Yarmolenko,Ukraine,28,3,0,2009-09-05,2023-09-12,70. Andriy Yarmolenko
71,Fernando Torres,Spain,28,3,0,2005-02-09,2014-06-23,71. Fernando Torres
72,Diego Forlán,Uruguay,28,3,0,2002-06-11,2013-06-20,72. Diego Forlán
73,Andrej Kramarić,Croatia,28,2,0,2014-09-09,2025-09-08,73. Andrej Kramarić
74,Dimitar Berbatov,Bulgaria,28,1,0,2000-10-11,2009-10-14,74. Dimitar Berbatov
75,Michael Ballack,Germany,27,8,0,2001-03-28,2009-09-09,75. Michael Ballack
76,Henrik Larsson,Sweden,27,6,0,1993-10-13,2006-06-20,76. Henrik Larsson
77,Artem Dzyuba,Russia,27,5,0,2014-09-08,2021-06-21,77. Artem Dzyuba
78,Gheorghe Hagi,Romania,27,4,0,1984-09-12,1999-09-08,78. Gheorghe Hagi
79,Michel Platini,France,27,3,0,1976-10-09,1986-06-21,79. Michel Platini
80,Michael Owen,England,27,1,0,1998-06-22,2007-09-12,80. Michael Owen
81,Dennis Bergkamp,Netherlands,27,1,0,1990-11-21,1998-07-04,81. Dennis Bergkamp
82,Kubilay Türkyilmaz,Switzerland,26,8,0,1988-09-21,2001-09-05,82. Kubilay Türkyilmaz
83,Enner Valencia,Ecuador,26,6,0,2014-06-15,2025-09-09,83. Enner Valencia
84,Eusébio,Portugal,26,5,0,1961-10-08,1973-03-28,84. Eusébio
85,Klaas-Jan Huntelaar,Netherlands,26,2,0,2007-10-17,2015-10-13,85. Klaas-Jan Huntelaar
86,Hernán Crespo,Argentina,26,2,0,1997-04-30,2007-07-02,86. Hernán Crespo
87,Paolo Guerrero,Peru,26,1,0,2004-11-17,2025-03-20,87. Paolo Guerrero
88,Savo Milošević,Serbia,26,0,0,1996-04-24,2004-10-13,88. Savo Milošević
89,Rudi Völler,Germany,26,0,0,1983-03-30,1994-07-02,89. Rudi Völler
90,Preben Elkjær,Denmark,26,0,0,1979-06-06,1987-10-14,90. Preben Elkjær
91,Pelé,Brazil,26,0,0,1958-06-19,1970-06-21,91. Pelé
92,Fernando Hierro,Spain,25,10,0,1990-12-19,2002-06-07,92. Fernando Hierro
93,Eden Hazard,Belgium,25,7,0,2011-10-07,2021-09-05,93. Eden Hazard
94,Arturo Vidal,Chile,25,6,0,2009-09-05,2023-09-08,94. Arturo Vidal
95,Marcelo Martins Moreno,Bolivia,25,6,0,2007-11-20,2022-02-01,95. Marcelo Martins Moreno
96,Iván Zamorano,Chile,25,5,0,1989-08-06,2000-08-15,96. Iván Zamorano
97,Stevan Jovetić,Montenegro,25,3,0,2008-09-06,2025-03-22,97. Stevan Jovetić
98,Luis Tejada,Panama,25,2,0,2004-06-13,2016-09-06,98. Luis Tejada
99,Joachim Streich,German DR,25,2,0,1972-10-07,1983-11-16,99. Joachim Streich
100,Xherdan Shaqiri,Switzerland,25,1,0,2010-09-07,2024-06-19,100. Xherdan Shaqiri
101,Milan Baroš,Czech Republic,25,1,0,2001-06-06,2011-03-29,101. Milan Baroš
102,Blas Pérez,Panama,25,0,0,2007-06-08,2017-06-13,102. Blas Pérez
103,Pauleta,Portugal,25,0,0,1999-03-26,2006-06-11,103. Pauleta
104,Damian Mori,Australia,25,0,0,1992-09-11,2002-07-12,104. Damian Mori
105,Johan Cruyff,Netherlands,25,0,0,1966-09-07,1977-03-26,105. Johan Cruyff
106,Ferenc Bene,Hungary,25,0,0,1963-10-19,1972-05-06,106. Ferenc Bene
107,Luka Modrić,Croatia,24,9,0,2006-10-07,2025-06-09,107. Luka Modrić
108,Gylfi Sigurðsson,Iceland,24,7,0,2011-10-07,2023-10-16,108. Gylfi Sigurðsson
109,Sadio Mané,Senegal,24,5,0,2012-06-02,2026-01-14,109. Sadio Mané
110,Vedat Muriqi,Kosovo,24,5,0,2018-10-11,2025-09-08,110. Vedat Muriqi
111,Adrian Mutu,Romania,24,5,0,2003-03-29,2013-03-22,111. Adrian Mutu
112,Zlatko Zahovič,Slovenia,24,5,0,1994-11-16,2003-04-30,112. Zlatko Zahovič
113,Asamoah Gyan,Ghana,24,4,0,2003-11-16,2017-01-21,113. Asamoah Gyan
114,Islam Slimani,Algeria,24,2,0,2012-06-02,2023-11-16,114. Islam Slimani
115,Jozy Altidore,United States,24,2,0,2008-10-11,2019-06-26,115. Jozy Altidore
116,Javier Hernández,Mexico,24,2,0,2010-06-17,2018-06-23,116. Javier Hernández
117,Alexander Frei,Switzerland,24,2,0,2001-03-28,2009-09-09,117. Alexander Frei
118,Māris Verpakovskis,Latvia,24,1,0,1999-06-09,2012-10-12,118. Māris Verpakovskis
119,Georginio Wijnaldum,Netherlands,24,0,0,2011-09-02,2023-06-18,119. Georginio Wijnaldum
120,Patrick M'Boma,Cameroon,24,0,0,1997-04-27,2004-01-29,120. Patrick M'Boma
121,James Rodríguez,Colombia,23,6,0,2012-06-03,2025-09-04,121. James Rodríguez
122,Ahmed Khalil,United Arab Emirates,23,5,0,2011-09-02,2019-01-21,122. Ahmed Khalil
123,Predrag Mijatović,Serbia,23,4,0,1996-06-02,2003-02-12,123. Predrag Mijatović
124,Salomón Rondón,Venezuela,23,3,0,2011-07-13,2025-09-09,124. Salomón Rondón
125,Ádám Szalai,Hungary,23,2,0,2010-10-08,2022-09-23,125. Ádám Szalai
126,Brian McBride,United States,23,1,0,1996-11-03,2005-08-17,126. Brian McBride
127,Vaughan Coveny,New Zealand,23,1,0,1997-06-11,2004-06-06,127. Vaughan Coveny
128,Gonzalo Higuaín,Argentina,23,0,0,2009-10-10,2016-10-06,128. Gonzalo Higuaín
129,Stern John,Trinidad and Tobago,23,0,0,1996-06-23,2008-06-22,129. Stern John
130,Agustín Delgado,Ecuador,23,0,0,1997-02-11,2006-06-15,130. Agustín Delgado
131,Akram Afif,Qatar,22,7,0,2015-09-03,2025-03-20,131. Akram Afif
132,Wu Lei,China PR,22,4,0,2015-06-16,2024-03-26,132. Wu Lei
133,Burak Yılmaz,Turkey,22,4,0,2011-06-03,2022-03-24,133. Burak Yılmaz
134,Michalis Konstantinou,Cyprus,22,4,0,1999-02-10,2010-09-03,134. Michalis Konstantinou
135,David Healy,Northern Ireland,22,3,0,2000-10-07,2012-11-14,135. David Healy
136,Gary Lineker,England,22,3,0,1985-10-16,1991-11-13,136. Gary Lineker
137,Karim Benzema,France,22,2,0,2007-10-13,2022-06-03,137. Karim Benzema
138,Filippo Inzaghi,Italy,22,2,0,1999-03-27,2007-06-02,138. Filippo Inzaghi
139,Arjen Robben,Netherlands,22,1,0,2003-10-11,2017-10-10,139. Arjen Robben
140,Marcelo Salas,Chile,22,1,0,1996-07-06,2007-11-18,140. Marcelo Salas
141,John Aloisi,Australia,22,1,0,1997-06-11,2007-07-21,141. John Aloisi
142,Héctor Scarone,Uruguay,22,1,0,1917-10-07,1930-07-21,142. Héctor Scarone
143,Lautaro Martínez,Argentina,22,0,0,2019-06-23,2025-09-04,143. Lautaro Martínez
144,Mario Mandžukić,Croatia,22,0,0,2008-09-10,2018-07-15,144. Mario Mandžukić
145,Shinji Okazaki,Japan,22,0,0,2009-06-06,2017-03-28,145. Shinji Okazaki
146,Carlo Costly,Honduras,22,0,0,2007-06-08,2014-06-20,146. Carlo Costly
147,Patrick Kluivert,Netherlands,22,0,0,1995-03-29,2003-10-11,147. Patrick Kluivert
148,Ademir de Menezes,Brazil,22,0,0,1945-01-28,1953-03-12,148. Ademir de Menezes
149,Vincent Aboubakar,Cameroon,21,7,0,2015-11-13,2025-03-25,149. Vincent Aboubakar
150,Keisuke Honda,Japan,21,7,0,2010-06-14,2018-06-24,150. Keisuke Honda
151,Pierre-Emerick Aubameyang,Gabon,21,6,0,1992-10-11,2025-12-28,151. Pierre-Emerick Aubameyang
152,Alan Shearer,England,21,5,0,1992-11-18,2000-06-20,152. Alan Shearer
153,Zoltán Gera,Hungary,21,4,0,2002-10-16,2016-11-13,153. Zoltán Gera
154,Patrik Schick,Czech Republic,21,3,0,2018-09-06,2026-03-26,154. Patrik Schick
155,Sami Al-Jaber,Saudi Arabia,21,3,0,1993-05-01,2006-06-14,155. Sami Al-Jaber
156,Rivaldo,Brazil,21,3,0,1998-06-16,2003-11-16,156. Rivaldo
157,Luis Hernández,Mexico,21,3,0,1997-04-13,2000-02-13,157. Luis Hernández
158,Cyle Larin,Canada,21,2,0,2015-06-11,2024-03-23,158. Cyle Larin
159,Álvaro Saborío,Costa Rica,21,2,0,2004-06-12,2019-06-24,159. Álvaro Saborío
160,Milivoje Novaković,Slovenia,21,2,0,2006-10-07,2017-06-10,160. Milivoje Novaković
161,Eiður Guðjohnsen,Iceland,21,2,0,1999-09-04,2015-03-28,161. Eiður Guðjohnsen
162,Florin Răducioiu,Romania,21,2,0,1990-12-05,1996-06-18,162. Florin Răducioiu
163,Ferran Torres,Spain,21,1,0,2020-09-06,2025-11-15,163. Ferran Torres
164,Luís Roberto Alves,Mexico,21,1,0,1991-06-28,1997-10-05,164. Luís Roberto Alves
165,Rashidi Yekini,Nigeria,21,1,0,1985-04-06,1994-06-21,165. Rashidi Yekini
166,Serge Gnabry,Germany,21,0,0,2016-11-11,2025-11-17,166. Serge Gnabry
167,Alexander Sørloth,Norway,21,0,0,2019-10-15,2025-11-13,167. Alexander Sørloth
168,Haris Seferovic,Switzerland,21,0,0,2013-06-08,2022-06-12,168. Haris Seferovic
169,Wesley Sneijder,Netherlands,21,0,0,2003-10-11,2017-06-09,169. Wesley Sneijder
170,Aleksandr Kerzhakov,Russia,21,0,0,2002-09-07,2014-06-17,170. Aleksandr Kerzhakov
171,Roque Santa Cruz,Paraguay,21,0,0,1999-07-02,2013-09-10,171. Roque Santa Cruz
172,Archie Thompson,Australia,21,0,0,2001-04-09,2012-10-16,172. Archie Thompson
173,Jasem Al-Huwaidi,Kuwait,21,0,0,1993-05-03,2001-02-24,173. Jasem Al-Huwaidi
174,Włodzimierz Lubański,Poland,21,0,0,1965-10-24,1977-05-01,174. Włodzimierz Lubański
175,Just Fontaine,France,21,0,0,1953-12-17,1959-12-13,175. Just Fontaine
176,Pedro Petrone,Uruguay,21,0,0,1923-11-04,1928-06-10,176. Pedro Petrone
177,Raúl Jiménez,Mexico,20,6,0,2013-07-11,2025-07-06,177. Raúl Jiménez
178,Gerson Rodrigues,Luxembourg,20,6,0,2019-03-22,2024-11-18,178. Gerson Rodrigues
179,Henrikh Mkhitaryan,Armenia,20,5,0,2009-03-28,2021-11-14,179. Henrikh Mkhitaryan
180,Andrés Guardado,Mexico,20,4,0,2007-06-24,2019-06-19,180. Andrés Guardado
181,Mohamed Aboutrika,Egypt,20,4,0,2004-06-06,2013-10-15,181. Mohamed Aboutrika
182,Jean-Pierre Papin,France,20,4,0,1986-06-01,1994-12-13,182. Jean-Pierre Papin
183,Younis Mahmoud,Iraq,20,2,0,2004-07-26,2015-11-17,183. Younis Mahmoud
184,Angelos Charisteas,Greece,20,2,0,2001-03-28,2011-10-11,184. Angelos Charisteas
185,Mikael Forssell,Finland,20,2,0,2001-06-02,2011-09-02,185. Mikael Forssell
186,Hossam Hassan,Egypt,20,2,0,1989-11-17,2006-02-03,186. Hossam Hassan
187,Raúl Díaz Arce,El Salvador,20,2,0,1992-12-06,2000-07-23,187. Raúl Díaz Arce
188,Gigi Riva,Italy,20,2,0,1967-11-01,1973-10-20,188. Gigi Riva
189,Bryan Ruiz,Costa Rica,20,1,0,2005-07-16,2022-01-27,189. Bryan Ruiz
190,Sergio Agüero,Argentina,20,1,0,2007-11-17,2019-07-06,190. Sergio Agüero
191,Marc Janko,Austria,20,1,0,2008-09-06,2016-10-09,191. Marc Janko
192,Luís Fabiano,Brazil,20,1,0,2004-06-06,2010-06-28,192. Luís Fabiano
193,Roger Milla,Cameroon,20,1,0,1976-10-17,1994-06-28,193. Roger Milla
194,Faisal Al-Dakhil,Kuwait,20,1,0,1976-06-03,1985-04-26,194. Faisal Al-Dakhil
195,Timo Werner,Germany,20,0,0,2017-06-25,2022-06-14,195. Timo Werner
196,David Silva,Spain,20,0,0,2008-06-26,2017-09-05,196. David Silva
197,Vladimír Šmicer,Czech Republic,20,0,0,1996-06-19,2005-11-12,197. Vladimír Šmicer
198,Emil Kostadinov,Bulgaria,20,0,0,1991-03-27,1998-06-24,198. Emil Kostadinov
199,Tibor Nyilasi,Hungary,20,0,0,1975-09-24,1985-04-03,199. Tibor Nyilasi
200,Frank Lampard,England,19,8,0,2004-06-13,2013-03-22,200. Frank Lampard
201,Aaron Ramsey,Wales,19,6,0,2009-10-14,2023-09-11,201. Aaron Ramsey
202,Hristo Bonev,Bulgaria,19,6,0,1968-10-27,1976-10-09,202. Hristo Bonev
203,Cody Gakpo,Netherlands,19,5,0,2021-09-04,2025-11-17,203. Cody Gakpo
204,Mohammad Al-Sahlawi,Saudi Arabia,19,5,0,2011-07-28,2017-06-08,204. Mohammad Al-Sahlawi
205,Marcel Sabitzer,Austria,19,4,0,2015-10-09,2025-09-09,205. Marcel Sabitzer
206,Zvjezdan Misimović,Bosnia and Herzegovina,19,4,0,2005-06-08,2013-10-11,206. Zvjezdan Misimović
207,Pascal Feindouno,Guinea,19,4,0,2000-04-08,2009-06-21,207. Pascal Feindouno
208,Aymen Hussein,Iraq,19,3,0,2017-09-05,2026-03-31,208. Aymen Hussein
209,Bruno Fernandes,Portugal,19,3,0,2019-11-17,2025-11-16,209. Bruno Fernandes
210,Khvicha Kvaratskhelia,Georgia,19,3,0,2020-10-14,2025-09-07,210. Khvicha Kvaratskhelia
211,Eric Wynalda,United States,19,3,0,1991-07-01,2000-02-12,211. Eric Wynalda
212,Michael Laudrup,Denmark,19,3,0,1983-10-12,1998-06-24,212. Michael Laudrup
213,Jonathan David,Canada,19,2,0,2019-06-15,2025-06-29,213. Jonathan David
214,Yousef Nasser,Kuwait,19,2,0,2011-07-23,2025-03-20,214. Yousef Nasser
215,Marek Hamšík,Slovakia,19,2,0,2007-10-13,2020-10-14,215. Marek Hamšík
216,Moumouni Dagano,Burkina Faso,19,2,0,2001-02-24,2009-11-14,216. Moumouni Dagano
217,Kalusha Bwalya,Zambia,19,2,0,1984-07-29,2004-09-04,217. Kalusha Bwalya
218,Hans Krankl,Austria,19,2,0,1976-12-05,1982-06-21,218. Hans Krankl
219,Raheem Sterling,England,19,1,0,2015-03-27,2022-11-21,219. Raheem Sterling
220,Theofanis Gekas,Greece,19,1,0,2007-06-02,2013-03-22,220. Theofanis Gekas
221,Maksim Shatskikh,Uzbekistan,19,1,0,2001-09-08,2011-09-02,221. Maksim Shatskikh
222,Marcus Allbäck,Sweden,19,0,0,2001-03-28,2007-11-21,222. Marcus Allbäck
223,Shota Arveladze,Georgia,19,0,0,1994-11-16,2007-03-24,223. Shota Arveladze
224,Oliver Bierhoff,Germany,19,0,0,1996-06-30,2002-06-01,224. Oliver Bierhoff
225,Bebeto,Brazil,19,0,0,1989-07-01,1998-07-03,225. Bebeto
226,Grzegorz Lato,Poland,19,0,0,1973-09-26,1982-06-22,226. Grzegorz Lato
227,Sergio Ramos,Spain,18,6,0,2005-10-12,2020-09-06,227. Sergio Ramos
228,Emil Forsberg,Sweden,18,5,0,2015-11-14,2023-11-19,228. Emil Forsberg
229,Gabriel Torres,Panama,18,5,0,2013-07-07,2022-03-30,229. Gabriel Torres
230,Zico,Brazil,18,5,0,1977-03-09,1985-06-16,230. Zico
231,Enis Bardhi,North Macedonia,18,4,0,2017-10-09,2025-10-13,231. Enis Bardhi
232,Omar Khribin,Syria,18,4,0,2015-06-11,2024-03-26,232. Omar Khribin
233,Hassan Al-Haydos,Qatar,18,4,0,2015-01-19,2024-02-03,233. Hassan Al-Haydos
234,Mesut Özil,Germany,18,4,0,2010-06-23,2017-09-04,234. Mesut Özil
235,Jari Litmanen,Finland,18,4,0,1991-05-16,2010-11-17,235. Jari Litmanen
236,Mikel Oyarzabal,Spain,18,3,0,2019-06-10,2025-11-18,236. Mikel Oyarzabal
237,Duckens Nazon,Haiti,18,2,0,2015-07-07,2025-10-09,237. Duckens Nazon
238,Robinho,Brazil,18,2,0,2005-06-05,2015-06-27,238. Robinho
239,José Cardozo,Paraguay,18,2,0,1991-07-12,2005-03-30,239. José Cardozo
240,Vladimir Beschastnykh,Russia,18,2,0,1995-04-26,2002-09-07,240. Vladimir Beschastnykh
241,Marc Wilmots,Belgium,18,2,0,1992-04-22,2002-06-14,241. Marc Wilmots
242,Luis García Postigo,Mexico,18,2,0,1992-11-22,1997-10-05,242. Luis García Postigo
243,Marco van Basten,Netherlands,18,2,0,1983-10-12,1991-04-17,243. Marco van Basten
244,Deon McCaulay,Belize,18,1,0,2008-02-06,2021-03-30,244. Deon McCaulay
245,Jefferson Farfán,Peru,18,1,0,2003-09-06,2019-06-18,245. Jefferson Farfán
246,Lee Dong-gook,South Korea,18,1,0,2000-02-17,2012-09-11,246. Lee Dong-gook
247,John McGinn,Scotland,18,0,0,2019-09-06,2024-11-18,247. John McGinn
248,Marcus Berg,Sweden,18,0,0,2009-06-10,2020-10-11,248. Marcus Berg
249,Oribe Peralta,Mexico,18,0,0,2012-10-12,2017-10-10,249. Oribe Peralta
250,Vedad Ibišević,Bosnia and Herzegovina,18,0,0,2007-10-13,2017-03-25,250. Vedad Ibišević
251,Hélder Postiga,Portugal,18,0,0,2004-06-24,2013-10-15,251. Hélder Postiga
252,Eduardo da Silva,Croatia,18,0,0,2006-10-11,2013-03-26,252. Eduardo da Silva
253,Andres Oper,Estonia,18,0,0,1997-06-08,2012-10-16,253. Andres Oper
254,Nuno Gomes,Portugal,18,0,0,2000-06-12,2008-06-19,254. Nuno Gomes
255,Francileudo Santos,Tunisia,18,0,0,2004-01-24,2008-01-27,255. Francileudo Santos
256,Christian Vieri,Italy,18,0,0,1997-03-29,2005-10-12,256. Christian Vieri
257,João Vieira Pinto,Portugal,18,0,0,1991-11-20,2001-10-06,257. João Vieira Pinto
258,Adnan Al Talyani,United Arab Emirates,18,0,0,1984-12-04,1997-12-17,258. Adnan Al Talyani
259,Carlos Hermosillo,Mexico,18,0,0,1991-06-28,1997-11-09,259. Carlos Hermosillo
260,Ahmed Radhi,Iraq,18,0,0,1985-03-29,1997-05-23,260. Ahmed Radhi
261,Ian Rush,Wales,18,0,0,1982-09-22,1993-10-13,261. Ian Rush
262,Zlatko Vujović,Yugoslavia,18,0,0,1979-04-01,1989-09-06,262. Zlatko Vujović
263,Walter Schachner,Austria,18,0,0,1977-04-17,1985-05-07,263. Walter Schachner
264,,Tahiti,18,0,0,1980-02-27,1980-02-29,
265,Mile Jedinak,Australia,17,11,0,2011-01-14,2018-06-21,265. Mile Jedinak
266,Felipe Caicedo,Ecuador,17,6,0,2008-09-06,2017-03-23,266. Felipe Caicedo
267,Ronaldinho,Brazil,17,5,0,1999-06-30,2007-10-17,267. Ronaldinho
268,Andreas Herzog,Austria,17,5,0,1988-11-02,2002-09-07,268. Andreas Herzog
269,Zinedine Zidane,France,17,4,0,1995-09-06,2006-07-09,269. Zinedine Zidane
270,Rui Costa,Portugal,17,4,0,1993-06-19,2004-06-24,270. Rui Costa
271,Roberto Baggio,Italy,17,4,0,1990-06-19,1998-06-23,271. Roberto Baggio
272,John Aldridge,Republic of Ireland,17,4,0,1989-11-15,1995-10-11,272. John Aldridge
273,Ismail Abdullatif,Bahrain,17,3,0,2007-07-15,2024-03-21,273. Ismail Abdullatif
274,Ciprian Marica,Romania,17,3,0,2004-11-17,2014-09-07,274. Ciprian Marica
275,Steffen Iversen,Norway,17,3,0,1999-04-28,2008-09-06,275. Steffen Iversen
276,Alessandro Del Piero,Italy,17,3,0,1995-11-15,2006-07-04,276. Alessandro Del Piero
277,Viktor Gyökeres,Sweden,17,2,0,2022-06-12,2026-03-31,277. Viktor Gyökeres
278,Christian Pulisic,United States,17,2,0,2016-09-02,2024-06-23,278. Christian Pulisic
279,Yang Xu,China PR,17,2,0,2011-07-23,2019-10-10,279. Yang Xu
280,Hassan Abdel-Fattah,Jordan,17,2,0,2008-05-31,2015-10-13,280. Hassan Abdel-Fattah
281,Javad Nekounam,Iran,17,2,0,2004-07-20,2013-06-11,281. Javad Nekounam
282,Yossi Benayoun,Israel,17,2,0,1999-09-05,2011-06-04,282. Yossi Benayoun
283,Frédéric Kanouté,Mali,17,2,0,2004-01-26,2010-01-18,283. Frédéric Kanouté
284,Kaká,Brazil,17,2,0,2003-07-19,2009-06-15,284. Kaká
285,Victor Osimhen,Nigeria,17,1,0,2021-09-07,2026-01-10,285. Victor Osimhen
286,Breel Embolo,Switzerland,17,1,0,2015-10-09,2025-11-15,286. Breel Embolo
287,Takumi Minamino,Japan,17,1,0,2019-02-01,2024-11-15,287. Takumi Minamino
288,Michy Batshuayi,Belgium,17,1,0,2015-03-28,2022-11-23,288. Michy Batshuayi
289,Celso Borges,Costa Rica,17,1,0,2008-09-06,2022-03-24,289. Celso Borges
290,Nicklas Bendtner,Denmark,17,1,0,2007-11-17,2017-11-14,290. Nicklas Bendtner
291,Joaquín Botero,Bolivia,17,1,0,2001-04-25,2009-04-01,291. Joaquín Botero
292,Luís Figo,Portugal,17,1,0,1994-10-09,2001-10-06,292. Luís Figo
293,Abdoulaye Traoré,Ivory Coast,17,1,0,1984-10-21,1994-04-03,293. Abdoulaye Traoré
